timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1617384975708,14,HTTP Request,308,Permanent Redirect,Thread Group 1-2,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,14,0,0
1617384975722,11,HTTP Request,308,Permanent Redirect,Thread Group 1-2,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,11,0,0
1617384975733,14,HTTP Request,308,Permanent Redirect,Thread Group 1-2,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,14,0,0
1617384975747,9,HTTP Request,308,Permanent Redirect,Thread Group 1-2,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,9,0,0
1617384975756,13,HTTP Request,308,Permanent Redirect,Thread Group 1-2,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,13,0,0
1617384975770,13,HTTP Request,308,Permanent Redirect,Thread Group 1-2,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,13,0,0
1617384975784,13,HTTP Request,308,Permanent Redirect,Thread Group 1-2,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,13,0,0
1617384975798,13,HTTP Request,308,Permanent Redirect,Thread Group 1-2,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,13,0,0
1617384975812,15,HTTP Request,308,Permanent Redirect,Thread Group 1-2,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,15,0,0
1617384975828,20,HTTP Request,308,Permanent Redirect,Thread Group 1-2,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,20,0,0
1617384977543,28,HTTP Request,308,Permanent Redirect,Thread Group 1-3,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,28,0,16
1617384977572,14,HTTP Request,308,Permanent Redirect,Thread Group 1-3,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,14,0,0
1617384977587,14,HTTP Request,308,Permanent Redirect,Thread Group 1-3,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,14,0,0
1617384977601,11,HTTP Request,308,Permanent Redirect,Thread Group 1-3,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,11,0,0
1617384977612,13,HTTP Request,308,Permanent Redirect,Thread Group 1-3,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,13,0,0
1617384977625,12,HTTP Request,308,Permanent Redirect,Thread Group 1-3,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,12,0,0
1617384977637,12,HTTP Request,308,Permanent Redirect,Thread Group 1-3,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,11,0,0
1617384977649,13,HTTP Request,308,Permanent Redirect,Thread Group 1-3,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,13,0,0
1617384977662,12,HTTP Request,308,Permanent Redirect,Thread Group 1-3,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,12,0,0
1617384977674,9,HTTP Request,308,Permanent Redirect,Thread Group 1-3,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,9,0,0
1617384977683,12,HTTP Request,308,Permanent Redirect,Thread Group 1-3,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,12,0,0
1617384977695,12,HTTP Request,308,Permanent Redirect,Thread Group 1-3,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,12,0,0
1617384977707,15,HTTP Request,308,Permanent Redirect,Thread Group 1-3,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,15,0,0
1617384977723,14,HTTP Request,308,Permanent Redirect,Thread Group 1-3,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,14,0,0
